# Complex refractive index of bare aluminium, n(lambda) + i k(lambda), 0.6-25.0 um.
#
# source: MODELLED, NOT MEASURED -- the Drude free-electron model
#   eps(w) = 1 - wp^2 / (w^2 + i Gamma w), with wp = 12.53 eV and Gamma = 0.0759 eV.
#   Free-carrier response is the right physics for a metal far below its plasma frequency, which
#   the whole infrared is; aluminium's interband structure sits in the ultraviolet. The two
#   parameters are chosen so the model reproduces the commonly quoted n = 25.3, k = 89.8 at
#   10 um, and both land inside the spread of published Drude fits for Al. Replace with a
#   measured table (Ordal et al. 1985, or Rakic et al. 1998) when one is obtainable; the loader
#   and every consumer are unchanged by the swap.
#
# Generated by scripts/generate_nk_tables.py on 2026-09-15 (roadmap M7.5).
# Check values from this model: n(4.0 um) = 4.77, k = 39.54; n(10.0 um) = 25.31,
#   k = 89.83. Normal-incidence emissivity at 10 um: 0.01156.
# Columns: wavelength in MICROMETRES, then n, then k.
wavelength_um,n,k
7.21125,14.38641,68.19753
7.27897,14.62950,68.76002
7.34733,14.87623,69.32594
7.41633,15.12665,69.89527
7.48598,15.38081,70.46801
7.55629,15.63873,71.04414
7.62725,15.90047,71.62367
7.69888,16.16606,72.20659
7.77119,16.43554,72.79287
7.84417,16.70895,73.38252
7.91784,16.98633,73.97552
7.99220,17.26772,74.57186
8.06726,17.55317,75.17152
8.14302,17.84270,75.77451
8.21949,18.13637,76.38079
8.29669,18.43420,76.99036
8.37461,18.73624,77.60320
8.45326,19.04253,78.21930
8.53264,19.35310,78.83864
8.61278,19.66800,79.46120
8.69366,19.98726,80.08697
8.77531,20.31092,80.71592
8.85772,20.63901,81.34805
8.94091,20.97158,81.98332
9.02488,21.30866,82.62171
9.10963,21.65029,83.26322
9.19519,21.99650,83.90781
9.28154,22.34732,84.55547
9.36871,22.70280,85.20616
9.45670,23.06297,85.85987
9.54551,23.42786,86.51657
9.63515,23.79751,87.17624
9.72564,24.17195,87.83886
9.81698,24.55120,88.50438
9.90918,24.93532,89.17280
10.00224,25.32431,89.84408
10.09617,25.71823,90.51819
10.19099,26.11709,91.19511
10.28670,26.52092,91.87481
10.38331,26.92976,92.55725
10.48082,27.34364,93.24241
10.57925,27.76257,93.93026
10.67860,28.18660,94.62077
10.77889,28.61573,95.31389
10.88012,29.05001,96.00961
10.98230,29.48945,96.70789
11.08544,29.93408,97.40870
11.18955,30.38393,98.11200
11.29464,30.83900,98.81776
11.40071,31.29934,99.52595
11.50778,31.76494,100.23653
11.61585,32.23585,100.94946
11.72494,32.71207,101.66472
11.83506,33.19362,102.38227
11.94620,33.68052,103.10207
12.05840,34.17279,103.82408
12.17164,34.67045,104.54827
12.28595,35.17350,105.27461
12.40133,35.68196,106.00306
12.51780,36.19584,106.73357
12.63536,36.71515,107.46612
12.75403,37.23992,108.20067
12.87380,37.77013,108.93718
12.99471,38.30581,109.67561
13.11675,38.84697,110.41593
13.23993,39.39360,111.15810
13.36428,39.94571,111.90209
13.48978,40.50332,112.64785
13.61647,41.06641,113.39535
13.74435,41.63501,114.14456
13.87343,42.20910,114.89544
14.00372,42.78869,115.64794
14.13524,43.37378,116.40205
14.26799,43.96436,117.15771
14.40199,44.56045,117.91490
14.53724,45.16202,118.67358
14.67377,45.76909,119.43372
14.81157,46.38163,120.19528
14.95068,46.99966,120.95822
15.09109,47.62316,121.72252
15.23281,48.25212,122.48814
15.37587,48.88654,123.25505
15.52027,49.52640,124.02321
15.66603,50.17169,124.79260
15.81316,50.82242,125.56318
15.96167,51.47855,126.33492
16.11157,52.14008,127.10779
16.26288,52.80699,127.88177
16.41561,53.47928,128.65682
16.56978,54.15692,129.43292
16.72539,54.83990,130.21003
16.88247,55.52820,130.98814
17.04102,56.22180,131.76721
17.20106,56.92069,132.54723
17.36260,57.62485,133.32816
17.52566,58.33425,134.10998
17.69025,59.04887,134.89268
17.85639,59.76870,135.67622
18.02409,60.49371,136.46058
18.19336,61.22388,137.24576
18.36422,61.95919,138.03172
18.53669,62.69961,138.81844
18.71077,63.44512,139.60592
18.88650,64.19569,140.39414
19.06387,64.95130,141.18307
19.24290,65.71193,141.97270
19.42362,66.47754,142.76302
19.60604,67.24811,143.55402
19.79017,68.02362,144.34568
19.97603,68.80404,145.13799
20.16363,69.58933,145.93095
20.35300,70.37948,146.72454
20.54414,71.17445,147.51876
20.73708,71.97422,148.31359
20.93183,72.77876,149.10904
21.12841,73.58803,149.90510
21.32684,74.40202,150.70176
21.52713,75.22068,151.49901
21.72930,76.04400,152.29687
21.93337,76.87194,153.09532
22.13935,77.70448,153.89437
22.34727,78.54158,154.69402
22.55715,79.38321,155.49427
22.76899,80.22935,156.29512
22.98283,81.07997,157.09658
23.19867,81.93504,157.89864
23.41654,82.79453,158.70133
23.63645,83.65840,159.50464
23.85843,84.52664,160.30858
24.08250,85.39921,161.11317
24.30867,86.27609,161.91840
24.53696,87.15724,162.72430
24.76740,88.04264,163.53086
25.00000,88.93226,164.33812
