# Complex refractive index of paint proxy (PMMA, as a proxy for an automotive clearcoat), n(lambda) + i k(lambda), 0.6-19.6 um.
#
# source: X. Zhang, J. Qiu, X. Li, J. Zhao, L. Liu (2020), 'Complex refractive indices measurements of polymers in visible and near-infrared bands', Appl. Opt. 59, 2337-2344. doi:10.1364/AO.383831. Mitsubishi PMMA sample.
#   Retrieved 2026-09-15 from
#   https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/main/database/data/organic/(C5H8O2)n%20-%20poly(methyl%20methacrylate)/nk/Zhang-Mitsubishi.yml
#   (RefractiveIndex.INFO database, public domain / CC0 1.0), converted by
#   scripts/fetch_nk_tables.py and truncated to 0.6-19.6 um; values otherwise unmodified.
#   PROXY: PMMA, not paint. A paint film is a pigmented basecoat under a polymer clearcoat, and the clearcoat is an acrylic -- so this is the binder, measured, without the pigment. It exists to give the *painted* material class a fitted Level B (a, p) instead of an estimated one (§4.2 asks for exactly that fit), and the emissivity magnitude still comes from each material's authored band value.
#
# Check values interpolated from this table: n(1.55 um) = 1.477070, k = 3.39e-06;
#   n(10.0 um) = 1.499792, k = 0.042477. Normal-incidence Fresnel emissivity at 10.0 um: 0.95975.
# Columns: wavelength in MICROMETRES, then n, then k.
wavelength_um,n,k
2.9936,1.46762,0.00517
3.0075,1.46669,0.00471
3.0145,1.46624,0.00438
3.0286,1.46603,0.00361
3.0357,1.46625,0.00342
3.0499,1.4668,0.00329
3.0571,1.46692,0.00332
3.0644,1.46659,0.00366
3.0789,1.4655,0.00428
3.0863,1.46529,0.00427
3.0936,1.46509,0.00425
3.1085,1.46496,0.00467
3.1159,1.46511,0.00488
3.1234,1.46516,0.005
3.1386,1.46431,0.0049
3.1462,1.46405,0.00456
3.1538,1.464,0.0046
3.1693,1.46339,0.00546
3.177,1.46305,0.00553
3.1848,1.4627,0.0054
3.1927,1.46195,0.00505
3.2085,1.46036,0.00458
3.2164,1.46006,0.00474
3.2244,1.45965,0.00496
3.2325,1.45907,0.00507
3.2487,1.45816,0.00494
3.2569,1.45754,0.00486
3.2651,1.45626,0.00519
3.2733,1.45446,0.00609
3.2899,1.4511,0.00962
3.2983,1.44961,0.0123
3.3067,1.44849,0.0157
3.3152,1.44839,0.0203
3.3237,1.45011,0.0254
3.3322,1.45402,0.0292
3.3494,1.46332,0.0277
3.3581,1.46371,0.0247
3.3668,1.46128,0.025
3.3756,1.46047,0.0302
3.3844,1.46569,0.0365
3.3933,1.47491,0.0377
3.4022,1.48192,0.0331
3.4111,1.48471,0.0272
3.4292,1.48577,0.0197
3.4383,1.48508,0.017
3.4474,1.4841,0.015
3.4566,1.48338,0.0135
3.4658,1.48301,0.0121
3.4751,1.4824,0.0105
3.4845,1.48114,0.00912
3.4939,1.47957,0.00817
3.5033,1.47848,0.00811
3.5128,1.47843,0.00866
3.5224,1.47902,0.00858
3.532,1.47935,0.00755
3.5416,1.47892,0.0064
3.5513,1.47799,0.00554
3.5611,1.47696,0.00493
3.5709,1.47614,0.00465
3.5807,1.47571,0.00454
3.5907,1.47509,0.00441
3.6006,1.47422,0.00451
3.6107,1.47358,0.00483
3.6207,1.47334,0.00468
3.6309,1.47323,0.00418
3.6411,1.47281,0.00398
3.6513,1.47226,0.0041
3.6617,1.47197,0.00415
3.672,1.47182,0.00393
3.6825,1.47156,0.00377
3.693,1.47131,0.00382
3.7035,1.47127,0.00381
3.7141,1.47146,0.00363
3.7248,1.47136,0.00354
3.7355,1.47089,0.00371
3.7463,1.47058,0.00402
