# Complex refractive index of glass (fused silica, as a proxy for soda-lime float glass), n(lambda) + i k(lambda), 0.6-25 um.
#
# source: D. Franta, D. Necas, I. Ohlidal, A. Giglia (2016), 'Optical characterization of SiO2 thin films using universal dispersion model over wide spectral range', Proc. SPIE 9890, 989014. doi:10.1117/12.2227580. Fused silica PLATE, 0.405 mm, room temperature -- a bulk sample rather than a thin film, which is why this dataset was chosen over the thin-film alternatives in the same database.
#   Retrieved 2026-09-15 from
#   https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/main/database/data/main/SiO2/nk/Franta.yml
#   (RefractiveIndex.INFO database, public domain / CC0 1.0), converted by
#   scripts/fetch_nk_tables.py and truncated to 0.6-25 um; values otherwise unmodified.
#   PROXY: fused silica, not soda-lime. No freely available soda-lime dataset spans 0.75-13.5 um. Both are silicate glasses and share the Si-O stretching resonance that dominates the LWIR; soda-lime's alkali and iron content changes the magnitude more than the angular shape, and the magnitude is taken from the material's authored per-band emissivity, not from this table (M7.5).
#
# Check values interpolated from this table: n(1.55 um) = 1.444309, k = 2.5545e-16;
#   n(10.0 um) = 2.526835, k = 0.082695. Normal-incidence Fresnel emissivity at 10.0 um: 0.81213.
# Columns: wavelength in MICROMETRES, then n, then k.
wavelength_um,n,k
1.15984,1.44877,3.92842e-45
1.16252,1.44874,4.30926e-44
1.1652,1.44871,4.54899e-43
1.16788,1.44868,4.62228e-42
1.17058,1.44865,4.52201e-41
1.17328,1.44862,4.26033e-40
1.17598,1.44859,3.86629e-39
1.17869,1.44856,3.38054e-38
1.18141,1.44853,2.84852e-37
1.18413,1.4485,2.31364e-36
1.18686,1.44846,1.81182e-35
1.1896,1.44843,1.36829e-34
1.19234,1.4484,9.96736e-34
1.19509,1.44837,7.00527e-33
1.19784,1.44834,4.75125e-32
1.2006,1.44831,3.11048e-31
1.20337,1.44828,1.96598e-30
1.20615,1.44825,1.19995e-29
1.20893,1.44821,7.07411e-29
1.21171,1.44818,4.02906e-28
1.21451,1.44815,2.21744e-27
1.21731,1.44812,1.17954e-26
1.22011,1.44809,6.06564e-26
1.22293,1.44806,3.01607e-25
1.22574,1.44802,1.45044e-24
1.22857,1.44799,6.74749e-24
1.2314,1.44796,3.03712e-23
1.23424,1.44793,1.32298e-22
1.23709,1.4479,5.5783e-22
1.23994,1.44786,2.27721e-21
1.2428,1.44783,9.00211e-21
1.24566,1.4478,3.44681e-20
1.24853,1.44777,1.27853e-19
1.25141,1.44774,4.59529e-19
1.2543,1.4477,1.60071e-18
1.25719,1.44767,5.40505e-18
1.26009,1.44764,1.76953e-17
1.26299,1.44761,5.61794e-17
1.2659,1.44757,1.72998e-16
1.26882,1.44754,5.16821e-16
1.27174,1.44751,1.49815e-15
1.27468,1.44747,4.21479e-15
1.27761,1.44744,1.15102e-14
1.28056,1.44741,3.05185e-14
1.28351,1.44737,7.85776e-14
1.28647,1.44734,1.96505e-13
1.28944,1.44731,4.77389e-13
1.29241,1.44727,1.12687e-12
1.29539,1.44724,2.58503e-12
1.29837,1.44721,5.76401e-12
1.30137,1.44717,1.24949e-11
1.30437,1.44714,2.63374e-11
1.30737,1.44711,5.39914e-11
1.31039,1.44707,1.07663e-10
1.31341,1.44704,2.08871e-10
1.31644,1.447,3.94312e-10
1.31947,1.44697,7.24486e-10
1.32251,1.44693,1.29577e-09
1.32556,1.4469,2.25636e-09
1.32862,1.44687,3.82605e-09
1.33168,1.44683,6.31876e-09
1.33475,1.4468,1.01655e-08
1.33783,1.44676,1.59337e-08
1.34091,1.44673,2.43373e-08
1.344,1.44669,3.62302e-08
1.3471,1.44666,5.2576e-08
1.35021,1.44662,7.43868e-08
1.35332,1.44659,1.02629e-07
1.35644,1.44655,1.38103e-07
1.35956,1.44652,1.81357e-07
1.3627,1.44648,2.33188e-07
1.36584,1.44644,2.98682e-07
1.36899,1.44641,4.01599e-07
1.37214,1.44637,6.0117e-07
1.37531,1.44634,9.48246e-07
1.37848,1.4463,1.35039e-06
1.38166,1.44627,1.56147e-06
1.38484,1.44623,1.45751e-06
1.38803,1.44619,1.19738e-06
1.39123,1.44616,9.87461e-07
1.39444,1.44612,8.7229e-07
1.39765,1.44608,8.01983e-07
1.40088,1.44605,7.40432e-07
1.40411,1.44601,6.7879e-07
1.40734,1.44597,6.16084e-07
1.41059,1.44594,5.51577e-07
1.41384,1.4459,4.85263e-07
1.4171,1.44586,4.18473e-07
1.42036,1.44582,3.53333e-07
1.42364,1.44579,2.92002e-07
1.42692,1.44575,2.36198e-07
1.43021,1.44571,1.87025e-07
1.43351,1.44567,1.44985e-07
1.43681,1.44563,1.10055e-07
1.44012,1.4456,8.1813e-08
1.44344,1.44556,5.95695e-08
1.44677,1.44552,4.24893e-08
1.45011,1.44548,2.96929e-08
1.45345,1.44544,2.03331e-08
1.4568,1.4454,1.36458e-08
1.46016,1.44536,8.97626e-09
1.46352,1.44533,5.78841e-09
1.4669,1.44529,3.65974e-09
1.47028,1.44525,2.26898e-09
1.47367,1.44521,1.37962e-09
1.47707,1.44517,8.22804e-10
1.48047,1.44513,4.81399e-10
1.48388,1.44509,2.76339e-10
1.4873,1.44505,1.55657e-10
1.49073,1.44501,8.60487e-11
1.49417,1.44497,4.66903e-11
1.49761,1.44493,2.48699e-11
1.50107,1.44489,1.30061e-11
1.50453,1.44485,6.67881e-12
1.50799,1.44481,3.36815e-12
1.51147,1.44477,1.66832e-12
1.51496,1.44472,8.11751e-13
1.51845,1.44468,3.88039e-13
1.52195,1.44464,1.82261e-13
1.52546,1.4446,8.4127e-14
1.52897,1.44456,3.81641e-14
1.5325,1.44452,1.7018e-14
1.53603,1.44448,7.46019e-15
1.53957,1.44443,3.2154e-15
1.54312,1.44439,1.36276e-15
1.54668,1.44435,5.68007e-16
1.55024,1.44431,2.3286e-16
1.55382,1.44426,9.39065e-17
1.5574,1.44422,3.72572e-17
1.56099,1.44418,1.45442e-17
1.56459,1.44413,5.58714e-18
1.56819,1.44409,2.11233e-18
1.57181,1.44405,7.86078e-19
1.57543,1.444,2.87987e-19
1.57906,1.44396,1.03901e-19
1.5827,1.44392,3.69496e-20
1.58635,1.44387,1.2997e-20
1.59001,1.44383,4.58497e-21
1.59368,1.44378,1.71119e-21
1.59735,1.44374,7.94685e-22
1.60103,1.44369,5.79585e-22
1.60472,1.44365,6.40516e-22
1.60842,1.4436,8.47115e-22
1.61213,1.44356,1.17646e-21
1.61585,1.44351,1.65006e-21
1.61957,1.44347,2.31518e-21
1.6233,1.44342,3.24262e-21
1.62705,1.44338,4.53134e-21
1.6308,1.44333,6.31737e-21
1.63456,1.44328,8.7866e-21
1.63832,1.44324,1.21922e-20
1.6421,1.44319,1.68783e-20
1.64589,1.44314,2.3311e-20
1.64968,1.4431,3.2121e-20
1.65348,1.44305,4.41586e-20
1.6573,1.443,6.05685e-20
1.66112,1.44296,8.28874e-20
1.66494,1.44291,1.13174e-19
1.66878,1.44286,1.54178e-19
1.67263,1.44281,2.09569e-19
1.67649,1.44276,2.84225e-19
1.68035,1.44271,3.84622e-19
1.68422,1.44267,5.19336e-19
1.68811,1.44262,6.99697e-19
1.692,1.44257,9.40642e-19
1.6959,1.44252,1.26182e-18
1.69981,1.44247,1.68903e-18
1.70373,1.44242,2.25607e-18
1.70765,1.44237,3.00725e-18
1.71159,1.44232,4.00076e-18
1.71554,1.44227,5.31379e-18
1.71949,1.44222,7.0516e-18
1.72345,1.44217,9.3669e-18
1.72743,1.44212,1.25082e-17
1.73141,1.44207,1.69505e-17
1.7354,1.44202,2.37548e-17
1.7394,1.44196,3.55484e-17
1.74341,1.44191,5.91309e-17
1.74743,1.44186,1.12188e-16
1.75146,1.44181,2.4001e-16
1.7555,1.44176,5.55698e-16
1.75954,1.4417,1.33338e-15
1.7636,1.44165,3.21664e-15
1.76766,1.4416,7.66757e-15
1.77174,1.44154,1.78986e-14
1.77582,1.44149,4.07343e-14
1.77992,1.44144,9.01885e-14
1.78402,1.44138,1.94072e-13
1.78813,1.44133,4.05713e-13
1.79226,1.44127,8.23875e-13
1.79639,1.44122,1.62518e-12
1.80053,1.44117,3.11446e-12
1.80468,1.44111,5.79917e-12
1.80884,1.44106,1.04935e-11
1.81301,1.441,1.84554e-11
1.81719,1.44094,3.15538e-11
1.82138,1.44089,5.24546e-11
1.82558,1.44083,8.4801e-11
1.82978,1.44078,1.33347e-10
1.834,1.44072,2.0399e-10
1.83823,1.44066,3.0364e-10
1.84247,1.4406,4.3986e-10
1.84671,1.44055,6.20231e-10
1.85097,1.44049,8.51442e-10
1.85524,1.44043,1.13814e-09
1.85952,1.44037,1.4817e-09
1.8638,1.44031,1.87896e-09
1.8681,1.44026,2.3214e-09
1.87241,1.4402,2.7947e-09
1.87672,1.44014,3.27905e-09
1.88105,1.44008,3.75029e-09
1.88538,1.44002,4.18179e-09
1.88973,1.43996,4.54691e-09
1.89409,1.4399,4.82171e-09
1.89845,1.43984,4.98761e-09
1.90283,1.43978,5.03348e-09
1.90722,1.43972,4.95685e-09
1.91161,1.43966,4.7642e-09
1.91602,1.43959,4.47008e-09
1.92044,1.43953,4.09547e-09
1.92486,1.43947,3.66548e-09
1.9293,1.43941,3.20697e-09
1.93375,1.43934,2.74634e-09
1.93821,1.43928,2.30796e-09
1.94267,1.43922,1.91336e-09
1.94715,1.43915,1.5815e-09
1.95164,1.43909,1.32984e-09
1.95614,1.43903,1.17633e-09
1.96065,1.43896,1.142e-09
1.96517,1.4389,1.2539e-09
1.9697,1.43883,1.54799e-09
1.97424,1.43877,2.07166e-09
1.97879,1.4387,2.88537e-09
1.98335,1.43864,4.06289e-09
1.98792,1.43857,5.68978e-09
1.99251,1.4385,7.8595e-09
1.9971,1.43844,1.06671e-08
2.0017,1.43837,1.42007e-08
