# Clear-sky DIRECT-NORMAL solar spectral irradiance at the ground, air mass 1.5. Columns:
# wavelength in MICROMETRES, spectral irradiance in W m-2 um-1.
#
# STATUS: MODELLED, NOT MEASURED. Not ASTM G-173. The extraterrestrial input is the companion
# toa_planck_5778k.csv; the atmosphere is a clear-sky direct-beam band model --
#   * Rayleigh scattering, Bird & Riordan (1984) analytic optical depth
#   * Angstrom aerosol, beta = 0.03812, alpha = 1.14 (AOD 0.084 at 500 nm)
#   * ozone Chappuis band, 0.34 atm-cm
#   * the major water-vapour bands and the O2 A-band / CO2 bands as Gaussians in ln(lambda)
# Band CENTRES are spectroscopy. Band STRENGTHS carry one common water multiplier, fitted here to
# 0.093663 so that the AM1.5 integral is the 900.1 W m-2 that defines G-173's direct-normal
# reference. The integral is therefore NOT an independent check of this file; the checks that are
# independent are on shape -- 1.38 um and 1.87 um come out opaque, which is why a SWIR camera is
# blind there, and that was not fitted.
#
# Total: 900.10 W m-2. Transmittance at 1.38 um 0.0248, at 1.87 um 0.0082,
# at 1.06 um 0.9241, at 1.55 um 0.9441.
# Generated by scripts/generate_solar_spectra.py on 2026-09-15 (roadmap M11.3).
wavelength_um,irradiance_w_m2_um
1.5480,2.207298e+02
1.5500,2.204168e+02
1.5520,2.200493e+02
1.5540,2.196320e+02
1.5560,2.191696e+02
1.5580,2.186662e+02
1.5600,2.181256e+02
1.5620,2.175513e+02
1.5640,2.169464e+02
1.5660,2.163138e+02
1.5680,2.156559e+02
1.5700,2.149750e+02
1.5720,2.142730e+02
1.5740,2.135517e+02
1.5760,2.128125e+02
1.5780,2.120567e+02
1.5800,2.112853e+02
1.5820,2.104992e+02
1.5840,2.096991e+02
1.5860,2.088853e+02
1.5880,2.080583e+02
1.5900,2.072181e+02
1.5920,2.063649e+02
1.5940,2.054984e+02
1.5960,2.046184e+02
1.5980,2.037244e+02
1.6000,2.028160e+02
1.6020,2.018925e+02
1.6040,2.009531e+02
1.6060,1.999969e+02
1.6080,1.990230e+02
1.6100,1.980302e+02
1.6120,1.970174e+02
1.6140,1.959832e+02
1.6160,1.949263e+02
1.6180,1.938451e+02
1.6200,1.927382e+02
1.6220,1.916038e+02
1.6240,1.904403e+02
1.6260,1.892458e+02
1.6280,1.880184e+02
1.6300,1.867562e+02
1.6320,1.854573e+02
1.6340,1.841195e+02
1.6360,1.827408e+02
1.6380,1.813191e+02
1.6400,1.798522e+02
1.6420,1.783381e+02
1.6440,1.767746e+02
1.6460,1.751595e+02
1.6480,1.734908e+02
1.6500,1.717665e+02
1.6520,1.699846e+02
1.6540,1.681432e+02
1.6560,1.662405e+02
1.6580,1.642749e+02
1.6600,1.622449e+02
1.6620,1.601491e+02
1.6640,1.579863e+02
1.6660,1.557557e+02
1.6680,1.534564e+02
1.6700,1.510881e+02
1.6720,1.486505e+02
1.6740,1.461438e+02
1.6760,1.435683e+02
1.6780,1.409249e+02
1.6800,1.382146e+02
1.6820,1.354390e+02
1.6840,1.325999e+02
1.6860,1.296996e+02
1.6880,1.267408e+02
1.6900,1.237264e+02
1.6920,1.206600e+02
1.6940,1.175455e+02
1.6960,1.143871e+02
1.6980,1.111893e+02
1.7000,1.079573e+02
1.7020,1.046963e+02
1.7040,1.014120e+02
1.7060,9.811027e+01
1.7080,9.479726e+01
1.7100,9.147933e+01
1.7120,8.816302e+01
1.7140,8.485494e+01
1.7160,8.156179e+01
1.7180,7.829029e+01
1.7200,7.504712e+01
1.7220,7.183885e+01
1.7240,6.867194e+01
1.7260,6.555265e+01
1.7280,6.248698e+01
1.7300,5.948065e+01
1.7320,5.653907e+01
1.7340,5.366725e+01
1.7360,5.086980e+01
1.7380,4.815090e+01
1.7400,4.551425e+01
1.7420,4.296309e+01
1.7440,4.050014e+01
1.7460,3.812763e+01
1.7480,3.584728e+01
1.7500,3.366031e+01
1.7520,3.156744e+01
1.7540,2.956893e+01
1.7560,2.766456e+01
1.7580,2.585369e+01
1.7600,2.413526e+01
1.7620,2.250785e+01
1.7640,2.096969e+01
1.7660,1.951869e+01
1.7680,1.815251e+01
1.7700,1.686855e+01
1.7720,1.566401e+01
1.7740,1.453596e+01
1.7760,1.348130e+01
1.7780,1.249685e+01
1.7800,1.157937e+01
1.7820,1.072558e+01
1.7840,9.932197e+00
1.7860,9.195954e+00
1.7880,8.513622e+00
1.7900,7.882030e+00
1.7920,7.298085e+00
1.7940,6.758784e+00
1.7960,6.261227e+00
1.7980,5.802623e+00
1.8000,5.380304e+00
1.8020,4.991723e+00
1.8040,4.634462e+00
1.8060,4.306233e+00
1.8080,4.004877e+00
1.8100,3.728366e+00
1.8120,3.474796e+00
1.8140,3.242389e+00
1.8160,3.029489e+00
1.8180,2.834553e+00
1.8200,2.656151e+00
1.8220,2.492960e+00
1.8240,2.343758e+00
1.8260,2.207417e+00
1.8280,2.082901e+00
1.8300,1.969259e+00
1.8320,1.865618e+00
1.8340,1.771183e+00
1.8360,1.685224e+00
1.8380,1.607079e+00
1.8400,1.536144e+00
1.8420,1.471872e+00
1.8440,1.413769e+00
1.8460,1.361386e+00
1.8480,1.314322e+00
1.8500,1.272214e+00
1.8520,1.234740e+00
1.8540,1.201612e+00
1.8560,1.172576e+00
1.8580,1.147409e+00
1.8600,1.125917e+00
1.8620,1.107933e+00
1.8640,1.093313e+00
1.8660,1.081942e+00
1.8680,1.073725e+00
1.8700,1.068588e+00
1.8720,1.066480e+00
1.8740,1.067370e+00
1.8760,1.071246e+00
1.8780,1.078115e+00
1.8800,1.088005e+00
1.8820,1.100958e+00
1.8840,1.117039e+00
1.8860,1.136328e+00
1.8880,1.158923e+00
1.8900,1.184940e+00
1.8920,1.214510e+00
1.8940,1.247781e+00
1.8960,1.284915e+00
1.8980,1.326088e+00
1.9000,1.371486e+00
1.9020,1.421304e+00
1.9040,1.475739e+00
1.9060,1.534990e+00
1.9080,1.599247e+00
1.9100,1.668687e+00
1.9120,1.743460e+00
1.9140,1.823680e+00
1.9160,1.909409e+00
1.9180,2.000642e+00
1.9200,2.097283e+00
1.9220,2.199128e+00
1.9240,2.305836e+00
1.9260,2.416908e+00
1.9280,2.531656e+00
1.9300,2.649180e+00
1.9320,2.768349e+00
1.9340,2.887779e+00
1.9360,3.005831e+00
1.9380,3.120614e+00
1.9400,3.230004e+00
1.9420,3.331687e+00
1.9440,3.423213e+00
1.9460,3.502083e+00
1.9480,3.565844e+00
1.9500,3.612209e+00
1.9520,3.639183e+00
1.9540,3.645191e+00
1.9560,3.629193e+00
